subject ID,list,trial_number,trial_object,trial_modifier,intonation,modifier_type,probe_type,response
30379,A,7,cake,yummy,declarative,grad+subj+pos,approve,2
30379,A,8,cake,yummy,declarative,grad+subj+pos,mean,2
30379,A,9,cake,yummy,declarative,grad+subj+pos,nice,5
30379,A,10,gift,awesome,sarcastic,grad+subj+pos,approve,2
30379,A,11,gift,awesome,sarcastic,grad+subj+pos,mean,2
30379,A,12,gift,awesome,sarcastic,grad+subj+pos,nice,5
30379,A,13,bouquet,messy,declarative,grad+subj+neg,approve,1
30379,A,14,bouquet,messy,declarative,grad+subj+neg,mean,2
30379,A,15,bouquet,messy,declarative,grad+subj+neg,nice,2
30379,A,16,question,silly,sarcastic,grad+subj+neg,approve,2
30379,A,17,question,silly,sarcastic,grad+subj+neg,mean,2
30379,A,18,question,silly,sarcastic,grad+subj+neg,nice,4
30379,A,19,dish,lobster,declarative,–grad–subj,approve,2
30379,A,20,dish,lobster,declarative,–grad–subj,mean,2
30379,A,21,dish,lobster,declarative,–grad–subj,nice,3
30379,A,22,shirt,spotted,sarcastic,–grad–subj,approve,2
30379,A,23,shirt,spotted,sarcastic,–grad–subj,mean,2
30379,A,24,shirt,spotted,sarcastic,–grad–subj,nice,3
30379,A,25,story,funny,declarative,grad+subj+pos,approve,2
30379,A,26,story,funny,declarative,grad+subj+pos,mean,2
30379,A,27,story,funny,declarative,grad+subj+pos,nice,5
30379,A,28,tool,useful,sarcastic,grad+subj+pos,approve,2
30379,A,29,tool,useful,sarcastic,grad+subj+pos,mean,2
30379,A,30,tool,useful,sarcastic,grad+subj+pos,nice,5
30379,A,31,hole,careless,declarative,grad+subj+neg,approve,1
30379,A,32,hole,careless,declarative,grad+subj+neg,mean,2
30379,A,33,hole,careless,declarative,grad+subj+neg,nice,2
30379,A,34,solution,bossy,sarcastic,grad+subj+neg,approve,1
30379,A,35,solution,bossy,sarcastic,grad+subj+neg,mean,2
30379,A,36,solution,bossy,sarcastic,grad+subj+neg,nice,2
