"","response","intonation","modifier_type","subject.ID","trial_object","probe_type","trial_modifier","group"
"248","4","sarcastic","grad+subj+pos","28999","tool","nice","useful","adults"
"249","2","declarative","grad+subj+neg","28999","hole","nice","careless","adults"
"250","2","sarcastic","grad+subj+neg","28999","solution","nice","bossy","adults"
"251","4","declarative","–grad–subj","28999","novel","nice","fiction","adults"
"252","4","sarcastic","–grad–subj","28999","video","nice","tiktok","adults"
"253","4","declarative","grad+subj+pos","33667","cake","nice","yummy","adults"
"254","5","sarcastic","grad+subj+pos","33667","gift","nice","awesome","adults"
"255","2","declarative","grad+subj+neg","33667","bouquet","nice","messy","adults"
"256","4","sarcastic","grad+subj+neg","33667","question","nice","silly","adults"
"257","3","declarative","–grad–subj","33667","dish","nice","lobster","adults"
"258","3","sarcastic","–grad–subj","33667","shirt","nice","spotted","adults"
"259","4","declarative","grad+subj+pos","33667","story","nice","funny","adults"
"260","4","sarcastic","grad+subj+pos","33667","tool","nice","useful","adults"
"261","2","declarative","grad+subj+neg","33667","hole","nice","careless","adults"
"262","2","sarcastic","grad+subj+neg","33667","solution","nice","bossy","adults"
"263","3","declarative","–grad–subj","33667","novel","nice","fiction","adults"
"264","3","sarcastic","–grad–subj","33667","video","nice","tiktok","adults"
"265","4","declarative","grad+subj+pos","27901","cake","nice","yummy","adults"
"266","4","sarcastic","grad+subj+pos","27901","gift","nice","awesome","adults"
"267","2","declarative","grad+subj+neg","27901","bouquet","nice","messy","adults"
"268","2","sarcastic","grad+subj+neg","27901","question","nice","silly","adults"
"269","4","declarative","–grad–subj","27901","dish","nice","lobster","adults"
"270","4","sarcastic","–grad–subj","27901","shirt","nice","spotted","adults"
"271","3","declarative","grad+subj+pos","27901","story","nice","funny","adults"
"272","2","sarcastic","grad+subj+pos","27901","tool","nice","useful","adults"
"273","2","declarative","grad+subj+neg","27901","hole","nice","careless","adults"
"274","4","sarcastic","grad+subj+neg","27901","solution","nice","bossy","adults"
"275","4","declarative","–grad–subj","27901","novel","nice","fiction","adults"
"276","4","sarcastic","–grad–subj","27901","video","nice","tiktok","adults"
"277","5","declarative","grad+subj+pos","32950","cake","nice","yummy","adults"
"278","3","sarcastic","grad+subj+pos","32950","gift","nice","awesome","adults"
"279","2","declarative","grad+subj+neg","32950","bouquet","nice","messy","adults"
"280","2","sarcastic","grad+subj+neg","32950","question","nice","silly","adults"
"281","3","declarative","–grad–subj","32950","dish","nice","lobster","adults"
"282","3","sarcastic","–grad–subj","32950","shirt","nice","spotted","adults"
"283","5","declarative","grad+subj+pos","32950","story","nice","funny","adults"
